identificador|identificador|suffix_url|pasta_imagens|titulo|nome_curto|subtitulo|quantidade_inicial|quantidade_vendida|preco_unitario|desconto_todas_unidades|descricao_detalhada|url_contato_vendedor|texto_contato_vendedor|info_extra
airfryer|airfryer|airfryer|airfryer|Air Fryer Mondial Grand Family 5,5L|Air Fryer|Praticamente nova - sem uso|1|0|110.00|0.00|Excelente air fryer com capacidade grande. Praticamente nova sem nenhum uso. Perfeita para famílias maiores. Tem todos os acessórios originais.|https://wa.me/5592994029976|Falar com Gustavo|
micro|micro|micro|micro|Micro-ondas Electrolux 25L|Micro-ondas|Funcionando perfeitamente|1|0|280.00|0.00|Micro-ondas da Electrolux com 25 litros. Funciona perfeitamente. Sem nenhum defeito.|https://wa.me/5592994029976|Falar com Gustavo|
secadora|secadora|secadora|secadora|Secadora de roupa Mueller Solaris 8 kg|Secadora|Seca roupas|1|0|250.00|0.00|Secadora muito bem conservada, funcionando.|https://wa.me/5592994029976|Falar com Gustavo|
whey |whey |whey |whey |Whey protein ISOWHEY Lion 900g chocolate (lacrado)|Whey Protein (novo)|Lacrado e válido|1|0|200.00|0.00|Whey protein ISOWHEY Lion sabor chocolate. Lacrado.|https://wa.me/5592994029976|Falar com Gustavo|
puff |puff |puff |puff |Puff grande com enchimento|Puff|Confortável para deitar|1|0|100.00|0.00|Bem conservado, sem cheiro. Lavável.|https://wa.me/5592994029976|Falar com Gustavo|
filtro |filtro |filtro |filtro |Filtro de água Consul funcionando|Filtro de água|Precisa trocar a mangueirinha de trás porque está pingando|1|0|150.00|0.00|Está gelando normalmente, mas a mangueira está pingando um pouco. Precisa trocar a mangueira. O refil também já está na época de trocar.|https://wa.me/5592994029976|Falar com Gustavo|
ferro |ferro |ferro |ferro |Ferro de passar super conservado|Ferro de passar|Funcionando perfeitamente|1|0|55.00|0.00|Muito bem conservado|https://wa.me/5592994029976|Falar com Gustavo|
vaporizador|vaporizador|vaporizador|vaporizador|Ferro vertical e horizontal (vaporizador)|Vaporizador|Prático de usar. Não precisa de tábua de passar roupa.|1|0|95.00|0.00|Desamassa e higieniza com vapor.|https://wa.me/5592994029976|Falar com Gustavo|
mesa-escritorio|mesa-escritorio|mesa-escritorio|mesa-escritorio|Mesa de escritório grande, resistente e pronta para uso|Mesa de escritório|Bem conservada|1|0|150.00|0.00|Mesa bastante ampla e firme (pés em ferro), com tampa de madeira de 140cm por 60cm e 76cm de altura. Perfeita para trabalhar.|https://wa.me/5592994029976|Falar com Gustavo|
mesa-retratil|mesa-retratil|mesa-retratil|mesa-retratil|Mesa retrátil multiuso|Mesa retrátil|Ideal para pequenos espaços|2|0|75.00|30.00|A mesa é sustentada por duas mãos francesas retráteis. Assim, é possível recolher a mesa quando não estiver mais usando, aproveitando melhor o espaço do ambiente. <font color='red'><b>Se comprar as duas unidades, ganha de brinde 5 suportes retráteis novos</b></font>|https://wa.me/5592994029976|Falar com Gustavo|
