identificador_info|identificador_secao|identificador_coisa|ordem|texto|informacao_complementar|link
|secao_onde_novo|airfryer|1|312.55|Amazon|https://www.amazon.com.br/Fritadeira-Fryer-Mondial-Preto-1900W/dp/B08HZBX16R/ref=asc_df_B08HZBX16R?mcid=75d86f197afb331f825d6a1836251d56&tag=googleshopp00-20&linkCode=df0&hvadid=709964506256&hvpos=&hvnetw=g&hvrand=16744422940705811272&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9228485&hvtargid=pla-1085256546870&hvocijid=16744422940705811272-B08HZBX16R-&hvexpln=0&language=pt_BR&th=1
|secao_onde_novo|airfryer|2|365.75|Mercado Livre|https://www.mercadolivre.com.br/mondial-grand-family-inox-af55i-preto-127v/p/MLB28879054?pdp_filters=item_id%3AMLB4586797695&from=gshop&matt_tool=80488341&matt_word=&matt_source=google&matt_campaign_id=22090193747&matt_ad_group_id=194474625514&matt_match_type=&matt_network=g&matt_device=c&matt_creative=792355615578&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=735128188&matt_product_id=MLB28879054-product&matt_product_partition_id=2456246915228&matt_target_id=pla-2456246915228&cq_src=google_ads&cq_cmp=22090193747&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gad_campaignid=22090193747&gclid=Cj0KCQjwoMXQBhDcARIsAH-eEtvdnrmRdJI2G0EdBmIF-i4O8ibXLE9D45CcrlbIIKFQZEW4R9vmmN8aAuZzEALw_wcB
|secao_onde_novo|micro|1|829.00|Bemol|https://www.bemol.com.br/micro-ondas-consul-32-litros-espelhado-menu-facil-cinza-cms46ar/p
|secao_onde_novo|micro|1|658.63|Casas Bahia|https://www.casasbahia.com.br/micro-ondas-consul-32-litros-cor-cinza-espelhado-com-menu-facil-cms46ar/p/1525942461?utm_medium=Cpc&utm_source=GP_PLA&IdSku=1525942461&idLojista=17971&tipoLojista=3P&gclsrc=aw.ds&&utm_campaign=cb_mkp_gg_shopping_sellers_15a16&gad_source=1&gad_campaignid=22788802215&gclid=Cj0KCQjwoMXQBhDcARIsAH-eEtsndVWVlWgM4s4vaDWeYme-iMoHMdmTINGACuYMP4xQjqEL_lBJaAsaAsxvEALw_wcB
|secao_onde_novo|secadora|1|584.10|Casas Bahia|https://www.casasbahia.com.br/secadora-de-roupa-mueller-solaris-8kg-127v-branco/p/1566810783?utm_medium=Cpc&utm_source=GP_PLA&IdSku=1566810783&idLojista=11121&tipoLojista=3P&gclsrc=aw.ds&&utm_campaign=cb_mkp_gg_shopping_tudo&gad_source=1&gad_campaignid=23330756621&gclid=Cj0KCQjwoMXQBhDcARIsAH-eEttzCzV83urc3lYWE9hXE4bYvo7HfG2xfE25oLU-QeBqxrcCP7uzryYaAqF_EALw_wcB
|secao_onde_novo|secadora|1|583.87|Mercado Livre|https://www.mercadolivre.com.br/secadora-de-roupas-8kg-branca-110v-de-parede-mueller-solaris/up/MLBU1971866810?pdp_filters=item_id%3AMLB2744067637&from=gshop&matt_tool=56164162&matt_word=&matt_source=google&matt_campaign_id=22090193744&matt_ad_group_id=194474654874&matt_match_type=&matt_network=g&matt_device=c&matt_creative=792355615437&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=114092322&matt_product_id=MLBU1971866810&matt_product_partition_id=2454323803413&matt_target_id=pla-2454323803413&cq_src=google_ads&cq_cmp=22090193744&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gad_campaignid=22090193744&gclid=Cj0KCQjwoMXQBhDcARIsAH-eEtstUQIRMFEXFG0oLBvi8VPmN0qZ0o_FEdXy7HU3Y7tJPUrs9PRyDNYaAr0mEALw_wcB
|secao_onde_novo|exemplo1|1|583.87|Mercado Livre|https://www.mercadolivre.com.br/secadora-de-roupas-8kg-branca-110v-de-parede-mueller-solaris/up/MLBU1971866810?pdp_filters=item_id%3AMLB2744067637&from=gshop&matt_tool=56164162&matt_word=&matt_source=google&matt_campaign_id=22090193744&matt_ad_group_id=194474654874&matt_match_type=&matt_network=g&matt_device=c&matt_creative=792355615437&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=114092322&matt_product_id=MLBU1971866810&matt_product_partition_id=2454323803413&matt_target_id=pla-2454323803413&cq_src=google_ads&cq_cmp=22090193744&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gad_campaignid=22090193744&gclid=Cj0KCQjwoMXQBhDcARIsAH-eEtstUQIRMFEXFG0oLBvi8VPmN0qZ0o_FEdXy7HU3Y7tJPUrs9PRyDNYaAr0mEALw_wcB
|secao_onde_novo|exemplo2|1|658.63|Casas Bahia|https://www.casasbahia.com.br/micro-ondas-consul-32-litros-cor-cinza-espelhado-com-menu-facil-cms46ar/p/1525942461?utm_medium=Cpc&utm_source=GP_PLA&IdSku=1525942461&idLojista=17971&tipoLojista=3P&gclsrc=aw.ds&&utm_campaign=cb_mkp_gg_shopping_sellers_15a16&gad_source=1&gad_campaignid=22788802215&gclid=Cj0KCQjwoMXQBhDcARIsAH-eEtsndVWVlWgM4s4vaDWeYme-iMoHMdmTINGACuYMP4xQjqEL_lBJaAsaAsxvEALw_wcB
|secao_onde_novo|whey|1|278.91|Magazine Luiza|https://www.magazineluiza.com.br/iso-whey-900g-sabor-chocolate-lion-sports-nutrition/p/ea36fh0741/sa/ksup/?&seller_id=lionsportnutrition&utm_source=google&utm_medium=cpc&utm_term=84412&utm_campaign=google_eco_per_ven_pla_es_sor_3p_bkf-es-rpf-su-b-0326&utm_content=&partner_id=84412&gclsrc=aw.ds&gad_source=1&gad_campaignid=23604909559&gclid=Cj0KCQjwoMXQBhDcARIsAH-eEtuzrA46sQmacfkhlmj9rH_fKlzqE5NqaxCrRA6nY2Ks7hh3ML4hDjQaAmKvEALw_wcB
|secao_onde_novo|puff|1|547.40|Este é o valor cobrado no Mercado Livre sem incluir o frete|https://produto.mercadolivre.com.br/MLB-1885812549-puff-gigante-em-suede-120cm-diametro-forro-enchimento-_JM?attributes=COLOR_SECONDARY_COLOR%3AUHJldG8%3D&quantity=1&picker=true&variation_id=84814911181
|secao_onde_novo|filtro|1|469.00|Amazon|https://www.amazon.com.br/Purificador-%C3%81gua-Consul-CPB34ASVNA-Branco/dp/B0778WNQPX/ref=asc_df_B0778WNQPX?mcid=34cddd07814b3bc8b9246937192a2f60&tag=googleshopp00-20&linkCode=df0&hvadid=709886750320&hvpos=&hvnetw=g&hvrand=11277423445870730448&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9228485&hvtargid=pla-875186655597&psc=1&hvocijid=11277423445870730448-B0778WNQPX-&hvexpln=0&language=pt_BR
|secao_onde_novo|ferro|1|138.00|Amazon|https://www.amazon.com.br/Ferro-Passar-Antiaderente-Black-Decker/dp/B07WCQ3HPF/ref=asc_df_B07WCQ3HPF?mcid=5675b8f2c6f933e3b2737f2e0604ca7b&tag=googleshopp00-20&linkCode=df0&hvadid=709964506301&hvpos=&hvnetw=g&hvrand=4144631326424249100&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9228485&hvtargid=pla-891874661694&hvocijid=4144631326424249100-B07WCQ3HPF-&hvexpln=0&language=pt_BR&th=1
|secao_onde_novo|vaporizador|1|189.01|Amazon|https://www.amazon.com.br/Black-Decker-Vaporizador-port%C3%A1til-higienizador/dp/B077NPRMHV/ref=asc_df_B077NPRMHV?mcid=d6b11aada7d6354ebac71e5b7da1faa0&tag=googleshopp00-20&linkCode=df0&hvadid=709884740092&hvpos=&hvnetw=g&hvrand=9160646126103234505&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9228485&hvtargid=pla-810045806146&psc=1&hvocijid=9160646126103234505-B077NPRMHV-&hvexpln=0&language=pt_BR
|secao_onde_novo|vaporizador|2|199.90|Casas Bahia|https://www.casasbahia.com.br/vaporizador-portatil-black-decker-bdv2000v-1200w-vapor-360-vermelho-e-branco/p/55071982?utm_medium=Cpc&utm_source=GP_PLA&IdSku=55071982&idLojista=10037&tipoLojista=1P&gclsrc=aw.ds&&utm_campaign=cb_b2c_gg_shopping_core_elpo_geral&gad_source=1&gad_campaignid=22439146548&gclid=Cj0KCQjwoMXQBhDcARIsAH-eEtuy0PGHi3P4RKt7ZB7AV9D793lmyGRoWyjAYr4qu45GFjzLnnAdB_EaAijCEALw_wcB
|secao_onde_novo|box-cama-travesseiros|1|1104.49|Magazine Luiza (sendo R$ 699,00 do colchão e R$ 408,49 da base da cama box) - links na seção "Onde comprei?"|
|secao_onde_novo|ventiladorzinho|1|169.00|Mercado Livre|https://www.mercadolivre.com.br/micro-ventilador-20cm-mini-127v-ventisol-estrutura-branco-pas-azul/p/MLB23866024?matt_tool=18956390&utm_source=google_shopping&utm_medium=organic&pdp_filters=item_id%3AMLB3958686299&from=gshop
|secao_onde_novo|ventiladorzinho|2|87.71|Flessak|https://www.lojavirtual.flessak.com.br/ventiladores-e-exaustores/ventiladores-de-mesa/mini-ventilador-20cm-3-pas-branco-baseclipe-8757-ventisol?parceiro=7685&gad_source=1&gad_campaignid=23201954638&gclid=Cj0KCQjww8rQBhDjARIsAE43KPNnK3fbBCi6C9nyXS-LEQf4jXGb8isCl6llZV6KdZL0fXx12w1k3ekaAm_PEALw_wcB
|secao_onde_novo|furadeira|1|278.00|Magazine Luiza|https://www.magazineluiza.com.br/furadeira-black-decker-impacto-1-2-13mm-560wx127v-tm555br/p/cjd3769837/fs/fpna/?seller_id=oimperador
